state_code,state_name,status_code,status_display,duration_days,cost_avg,notes
AK,Alaska,pre_fc,Pre-Foreclosure,90,,
AK,Alaska,first_legal_filed,First Legal Filed (NOD/Complaint),15,,
AK,Alaska,mediation,Mediation,0,,
AK,Alaska,order_of_reference,Order of Reference (Judicial Only),0,,
AK,Alaska,judgement,Judgment (Judicial Only),0,,
AK,Alaska,pre_sale_redemption,Pre-Sale Redemption,0,,
AK,Alaska,sale_scheduled,Sale Scheduled,5,,
AK,Alaska,sale_completed,Sale Completed,90,,
AK,Alaska,post_sale_redemption,Post-Sale Redemption,0,,
AL,Alabama,pre_fc,Pre-Foreclosure,90,,
AL,Alabama,first_legal_filed,First Legal Filed (NOD/Complaint),15,,
AL,Alabama,mediation,Mediation,0,,
AL,Alabama,order_of_reference,Order of Reference (Judicial Only),0,,
AL,Alabama,judgement,Judgment (Judicial Only),0,,
AL,Alabama,pre_sale_redemption,Pre-Sale Redemption,0,,
AL,Alabama,sale_scheduled,Sale Scheduled,5,,
AL,Alabama,sale_completed,Sale Completed,30,,
AL,Alabama,post_sale_redemption,Post-Sale Redemption,90,,
AR,Arkansas,pre_fc,Pre-Foreclosure,90,,
AR,Arkansas,first_legal_filed,First Legal Filed (NOD/Complaint),15,,
AR,Arkansas,mediation,Mediation,0,,
AR,Arkansas,order_of_reference,Order of Reference (Judicial Only),0,,
AR,Arkansas,judgement,Judgment (Judicial Only),0,,
AR,Arkansas,pre_sale_redemption,Pre-Sale Redemption,60,,
AR,Arkansas,sale_scheduled,Sale Scheduled,5,,
AR,Arkansas,sale_completed,Sale Completed,1,,
AR,Arkansas,post_sale_redemption,Post-Sale Redemption,0,,
AZ,Arizona,pre_fc,Pre-Foreclosure,90,,
AZ,Arizona,first_legal_filed,First Legal Filed (NOD/Complaint),15,,
AZ,Arizona,mediation,Mediation,0,,
AZ,Arizona,order_of_reference,Order of Reference (Judicial Only),0,,
AZ,Arizona,judgement,Judgment (Judicial Only),0,,
AZ,Arizona,pre_sale_redemption,Pre-Sale Redemption,90,,
AZ,Arizona,sale_scheduled,Sale Scheduled,5,,
AZ,Arizona,sale_completed,Sale Completed,1,,
AZ,Arizona,post_sale_redemption,Post-Sale Redemption,0,,
CA,California,pre_fc,Pre-Foreclosure,90,,
CA,California,first_legal_filed,First Legal Filed (NOD/Complaint),15,,
CA,California,mediation,Mediation,0,,
CA,California,order_of_reference,Order of Reference (Judicial Only),0,,
CA,California,judgement,Judgment (Judicial Only),0,,
CA,California,pre_sale_redemption,Pre-Sale Redemption,90,,
CA,California,sale_scheduled,Sale Scheduled,5,,
CA,California,sale_completed,Sale Completed,30,,
CA,California,post_sale_redemption,Post-Sale Redemption,0,,
CO,Colorado,pre_fc,Pre-Foreclosure,90,,
CO,Colorado,first_legal_filed,First Legal Filed (NOD/Complaint),20,,
CO,Colorado,mediation,Mediation,0,,
CO,Colorado,order_of_reference,Order of Reference (Judicial Only),0,,
CO,Colorado,judgement,Judgment (Judicial Only),0,,
CO,Colorado,pre_sale_redemption,Pre-Sale Redemption,15,,
CO,Colorado,sale_scheduled,Sale Scheduled,5,,
CO,Colorado,sale_completed,Sale Completed,45,,
CO,Colorado,post_sale_redemption,Post-Sale Redemption,8,,
CT,Connecticut,pre_fc,Pre-Foreclosure,90,,
CT,Connecticut,first_legal_filed,First Legal Filed (NOD/Complaint),65,,
CT,Connecticut,mediation,Mediation,105,,
CT,Connecticut,order_of_reference,Order of Reference (Judicial Only),0,,
CT,Connecticut,judgement,Judgment (Judicial Only),50,,
CT,Connecticut,pre_sale_redemption,Pre-Sale Redemption,0,,
CT,Connecticut,sale_scheduled,Sale Scheduled,0,,
CT,Connecticut,sale_completed,Sale Completed,30,,
CT,Connecticut,post_sale_redemption,Post-Sale Redemption,0,,
DC,District of Columbia,pre_fc,Pre-Foreclosure,90,,
DC,District of Columbia,first_legal_filed,First Legal Filed (NOD/Complaint),15,,
DC,District of Columbia,mediation,Mediation,0,,
DC,District of Columbia,order_of_reference,Order of Reference (Judicial Only),0,,
DC,District of Columbia,judgement,Judgment (Judicial Only),0,,
DC,District of Columbia,pre_sale_redemption,Pre-Sale Redemption,30,,
DC,District of Columbia,sale_scheduled,Sale Scheduled,5,,
DC,District of Columbia,sale_completed,Sale Completed,30,,
DC,District of Columbia,post_sale_redemption,Post-Sale Redemption,0,,
DE,Delaware,pre_fc,Pre-Foreclosure,90,,
DE,Delaware,first_legal_filed,First Legal Filed (NOD/Complaint),75,,
DE,Delaware,mediation,Mediation,65,,
DE,Delaware,order_of_reference,Order of Reference (Judicial Only),0,,
DE,Delaware,judgement,Judgment (Judicial Only),50,,
DE,Delaware,pre_sale_redemption,Pre-Sale Redemption,0,,
DE,Delaware,sale_scheduled,Sale Scheduled,10,,
DE,Delaware,sale_completed,Sale Completed,30,,
DE,Delaware,post_sale_redemption,Post-Sale Redemption,0,,
FL,Florida,pre_fc,Pre-Foreclosure,90,,
FL,Florida,first_legal_filed,First Legal Filed (NOD/Complaint),65,,
FL,Florida,mediation,Mediation,90,,
FL,Florida,order_of_reference,Order of Reference (Judicial Only),0,,
FL,Florida,judgement,Judgment (Judicial Only),137,,
FL,Florida,pre_sale_redemption,Pre-Sale Redemption,0,,
FL,Florida,sale_scheduled,Sale Scheduled,0,,
FL,Florida,sale_completed,Sale Completed,60,,
FL,Florida,post_sale_redemption,Post-Sale Redemption,10,,
GA,Georgia,pre_fc,Pre-Foreclosure,90,,
GA,Georgia,first_legal_filed,First Legal Filed (NOD/Complaint),20,,
GA,Georgia,mediation,Mediation,0,,
GA,Georgia,order_of_reference,Order of Reference (Judicial Only),0,,
GA,Georgia,judgement,Judgment (Judicial Only),0,,
GA,Georgia,pre_sale_redemption,Pre-Sale Redemption,0,,
GA,Georgia,sale_scheduled,Sale Scheduled,5,,
GA,Georgia,sale_completed,Sale Completed,45,,
GA,Georgia,post_sale_redemption,Post-Sale Redemption,0,,
HI,Hawaii,pre_fc,Pre-Foreclosure,90,,
HI,Hawaii,first_legal_filed,First Legal Filed (NOD/Complaint),85,,
HI,Hawaii,mediation,Mediation,0,,
HI,Hawaii,order_of_reference,Order of Reference (Judicial Only),0,,
HI,Hawaii,judgement,Judgment (Judicial Only),82,,
HI,Hawaii,pre_sale_redemption,Pre-Sale Redemption,0,,
HI,Hawaii,sale_scheduled,Sale Scheduled,7,,
HI,Hawaii,sale_completed,Sale Completed,60,,
HI,Hawaii,post_sale_redemption,Post-Sale Redemption,0,,
IA,Iowa,pre_fc,Pre-Foreclosure,90,,
IA,Iowa,first_legal_filed,First Legal Filed (NOD/Complaint),65,,
IA,Iowa,mediation,Mediation,0,,
IA,Iowa,order_of_reference,Order of Reference (Judicial Only),0,,
IA,Iowa,judgement,Judgment (Judicial Only),112,,
IA,Iowa,pre_sale_redemption,Pre-Sale Redemption,0,,
IA,Iowa,sale_scheduled,Sale Scheduled,10,,
IA,Iowa,sale_completed,Sale Completed,50,,
IA,Iowa,post_sale_redemption,Post-Sale Redemption,180,,
ID,Idaho,pre_fc,Pre-Foreclosure,90,,
ID,Idaho,first_legal_filed,First Legal Filed (NOD/Complaint),15,,
ID,Idaho,mediation,Mediation,0,,
ID,Idaho,order_of_reference,Order of Reference (Judicial Only),0,,
ID,Idaho,judgement,Judgment (Judicial Only),0,,
ID,Idaho,pre_sale_redemption,Pre-Sale Redemption,0,,
ID,Idaho,sale_scheduled,Sale Scheduled,5,,
ID,Idaho,sale_completed,Sale Completed,120,,
ID,Idaho,post_sale_redemption,Post-Sale Redemption,180,,
IL,Illinois,pre_fc,Pre-Foreclosure,90,,
IL,Illinois,first_legal_filed,First Legal Filed (NOD/Complaint),85,,
IL,Illinois,mediation,Mediation,40,,
IL,Illinois,order_of_reference,Order of Reference (Judicial Only),0,,
IL,Illinois,judgement,Judgment (Judicial Only),60,,
IL,Illinois,pre_sale_redemption,Pre-Sale Redemption,0,,
IL,Illinois,sale_scheduled,Sale Scheduled,5,,
IL,Illinois,sale_completed,Sale Completed,90,,
IL,Illinois,post_sale_redemption,Post-Sale Redemption,0,,
IN,Indiana,pre_fc,Pre-Foreclosure,90,,
IN,Indiana,first_legal_filed,First Legal Filed (NOD/Complaint),45,,
IN,Indiana,mediation,Mediation,65,,
IN,Indiana,order_of_reference,Order of Reference (Judicial Only),0,,
IN,Indiana,judgement,Judgment (Judicial Only),60,,
IN,Indiana,pre_sale_redemption,Pre-Sale Redemption,0,,
IN,Indiana,sale_scheduled,Sale Scheduled,60,,
IN,Indiana,sale_completed,Sale Completed,30,,
IN,Indiana,post_sale_redemption,Post-Sale Redemption,0,,
KS,Kansas,pre_fc,Pre-Foreclosure,90,,
KS,Kansas,first_legal_filed,First Legal Filed (NOD/Complaint),65,,
KS,Kansas,mediation,Mediation,0,,
KS,Kansas,order_of_reference,Order of Reference (Judicial Only),0,,
KS,Kansas,judgement,Judgment (Judicial Only),34,,
KS,Kansas,pre_sale_redemption,Pre-Sale Redemption,0,,
KS,Kansas,sale_scheduled,Sale Scheduled,10,,
KS,Kansas,sale_completed,Sale Completed,30,,
KS,Kansas,post_sale_redemption,Post-Sale Redemption,90,,
KY,Kentucky,pre_fc,Pre-Foreclosure,90,,
KY,Kentucky,first_legal_filed,First Legal Filed (NOD/Complaint),80,,
KY,Kentucky,mediation,Mediation,0,,
KY,Kentucky,order_of_reference,Order of Reference (Judicial Only),0,,
KY,Kentucky,judgement,Judgment (Judicial Only),112,,
KY,Kentucky,pre_sale_redemption,Pre-Sale Redemption,0,,
KY,Kentucky,sale_scheduled,Sale Scheduled,30,,
KY,Kentucky,sale_completed,Sale Completed,21,,
KY,Kentucky,post_sale_redemption,Post-Sale Redemption,0,,
LA,Louisiana,pre_fc,Pre-Foreclosure,90,,
LA,Louisiana,first_legal_filed,First Legal Filed (NOD/Complaint),65,,
LA,Louisiana,mediation,Mediation,0,,
LA,Louisiana,order_of_reference,Order of Reference (Judicial Only),0,,
LA,Louisiana,judgement,Judgment (Judicial Only),42,,
LA,Louisiana,pre_sale_redemption,Pre-Sale Redemption,0,,
LA,Louisiana,sale_scheduled,Sale Scheduled,60,,
LA,Louisiana,sale_completed,Sale Completed,40,,
LA,Louisiana,post_sale_redemption,Post-Sale Redemption,0,,
MA,Massachusetts,pre_fc,Pre-Foreclosure,90,,
MA,Massachusetts,first_legal_filed,First Legal Filed (NOD/Complaint),15,,
MA,Massachusetts,mediation,Mediation,0,,
MA,Massachusetts,order_of_reference,Order of Reference (Judicial Only),0,,
MA,Massachusetts,judgement,Judgment (Judicial Only),0,,
MA,Massachusetts,pre_sale_redemption,Pre-Sale Redemption,0,,
MA,Massachusetts,sale_scheduled,Sale Scheduled,47,,
MA,Massachusetts,sale_completed,Sale Completed,21,,
MA,Massachusetts,post_sale_redemption,Post-Sale Redemption,30,,
MD,Maryland,pre_fc,Pre-Foreclosure,90,,
MD,Maryland,first_legal_filed,First Legal Filed (NOD/Complaint),30,,
MD,Maryland,mediation,Mediation,50,,
MD,Maryland,order_of_reference,Order of Reference (Judicial Only),0,,
MD,Maryland,judgement,Judgment (Judicial Only),0,,
MD,Maryland,pre_sale_redemption,Pre-Sale Redemption,30,,
MD,Maryland,sale_scheduled,Sale Scheduled,5,,
MD,Maryland,sale_completed,Sale Completed,45,,
MD,Maryland,post_sale_redemption,Post-Sale Redemption,0,,
ME,Maine,pre_fc,Pre-Foreclosure,90,,
ME,Maine,first_legal_filed,First Legal Filed (NOD/Complaint),65,,
ME,Maine,mediation,Mediation,95,,
ME,Maine,order_of_reference,Order of Reference (Judicial Only),0,,
ME,Maine,judgement,Judgment (Judicial Only),57,,
ME,Maine,pre_sale_redemption,Pre-Sale Redemption,90,,
ME,Maine,sale_scheduled,Sale Scheduled,2,,
ME,Maine,sale_completed,Sale Completed,35,,
ME,Maine,post_sale_redemption,Post-Sale Redemption,0,,
MI,Michigan,pre_fc,Pre-Foreclosure,90,,
MI,Michigan,first_legal_filed,First Legal Filed (NOD/Complaint),20,,
MI,Michigan,mediation,Mediation,0,,
MI,Michigan,order_of_reference,Order of Reference (Judicial Only),0,,
MI,Michigan,judgement,Judgment (Judicial Only),0,,
MI,Michigan,pre_sale_redemption,Pre-Sale Redemption,0,,
MI,Michigan,sale_scheduled,Sale Scheduled,10,,
MI,Michigan,sale_completed,Sale Completed,30,,
MI,Michigan,post_sale_redemption,Post-Sale Redemption,90,,
MN,Minnesota,pre_fc,Pre-Foreclosure,90,,
MN,Minnesota,first_legal_filed,First Legal Filed (NOD/Complaint),30,,
MN,Minnesota,mediation,Mediation,0,,
MN,Minnesota,order_of_reference,Order of Reference (Judicial Only),0,,
MN,Minnesota,judgement,Judgment (Judicial Only),0,,
MN,Minnesota,pre_sale_redemption,Pre-Sale Redemption,0,,
MN,Minnesota,sale_scheduled,Sale Scheduled,10,,
MN,Minnesota,sale_completed,Sale Completed,30,,
MN,Minnesota,post_sale_redemption,Post-Sale Redemption,90,,
MO,Missouri,pre_fc,Pre-Foreclosure,90,,
MO,Missouri,first_legal_filed,First Legal Filed (NOD/Complaint),15,,
MO,Missouri,mediation,Mediation,0,,
MO,Missouri,order_of_reference,Order of Reference (Judicial Only),0,,
MO,Missouri,judgement,Judgment (Judicial Only),0,,
MO,Missouri,pre_sale_redemption,Pre-Sale Redemption,0,,
MO,Missouri,sale_scheduled,Sale Scheduled,5,,
MO,Missouri,sale_completed,Sale Completed,30,,
MO,Missouri,post_sale_redemption,Post-Sale Redemption,0,,
MS,Mississippi,pre_fc,Pre-Foreclosure,90,,
MS,Mississippi,first_legal_filed,First Legal Filed (NOD/Complaint),15,,
MS,Mississippi,mediation,Mediation,0,,
MS,Mississippi,order_of_reference,Order of Reference (Judicial Only),0,,
MS,Mississippi,judgement,Judgment (Judicial Only),0,,
MS,Mississippi,pre_sale_redemption,Pre-Sale Redemption,0,,
MS,Mississippi,sale_scheduled,Sale Scheduled,5,,
MS,Mississippi,sale_completed,Sale Completed,30,,
MS,Mississippi,post_sale_redemption,Post-Sale Redemption,0,,
MT,Montana,pre_fc,Pre-Foreclosure,90,,
