state_code,state_name,status_code,status_display,duration_days,cost_avg,notes
MT,Montana,first_legal_filed,First Legal Filed (NOD/Complaint),15,,
MT,Montana,mediation,Mediation,0,,
MT,Montana,order_of_reference,Order of Reference (Judicial Only),0,,
MT,Montana,judgement,Judgment (Judicial Only),0,,
MT,Montana,pre_sale_redemption,Pre-Sale Redemption,0,,
MT,Montana,sale_scheduled,Sale Scheduled,5,,
MT,Montana,sale_completed,Sale Completed,120,,
MT,Montana,post_sale_redemption,Post-Sale Redemption,0,,
NC,North Carolina,pre_fc,Pre-Foreclosure,90,,
NC,North Carolina,first_legal_filed,First Legal Filed (NOD/Complaint),45,,
NC,North Carolina,mediation,Mediation,0,,
NC,North Carolina,order_of_reference,Order of Reference (Judicial Only),0,,
NC,North Carolina,judgement,Judgment (Judicial Only),0,,
NC,North Carolina,pre_sale_redemption,Pre-Sale Redemption,0,,
NC,North Carolina,sale_scheduled,Sale Scheduled,15,,
NC,North Carolina,sale_completed,Sale Completed,30,,
NC,North Carolina,post_sale_redemption,Post-Sale Redemption,10,,
ND,North Dakota,pre_fc,Pre-Foreclosure,90,,
ND,North Dakota,first_legal_filed,First Legal Filed (NOD/Complaint),65,,
ND,North Dakota,mediation,Mediation,0,,
ND,North Dakota,order_of_reference,Order of Reference (Judicial Only),0,,
ND,North Dakota,judgement,Judgment (Judicial Only),57,,
ND,North Dakota,pre_sale_redemption,Pre-Sale Redemption,0,,
ND,North Dakota,sale_scheduled,Sale Scheduled,10,,
ND,North Dakota,sale_completed,Sale Completed,45,,
ND,North Dakota,post_sale_redemption,Post-Sale Redemption,0,,
NE,Nebraska,pre_fc,Pre-Foreclosure,90,,
NE,Nebraska,first_legal_filed,First Legal Filed (NOD/Complaint),75,,
NE,Nebraska,mediation,Mediation,0,,
NE,Nebraska,order_of_reference,Order of Reference (Judicial Only),0,,
NE,Nebraska,judgement,Judgment (Judicial Only),52,,
NE,Nebraska,pre_sale_redemption,Pre-Sale Redemption,20,,
NE,Nebraska,sale_scheduled,Sale Scheduled,5,,
NE,Nebraska,sale_completed,Sale Completed,35,,
NE,Nebraska,post_sale_redemption,Post-Sale Redemption,0,,
NH,New Hampshire,pre_fc,Pre-Foreclosure,90,,
NH,New Hampshire,first_legal_filed,First Legal Filed (NOD/Complaint),15,,
NH,New Hampshire,mediation,Mediation,0,,
NH,New Hampshire,order_of_reference,Order of Reference (Judicial Only),0,,
NH,New Hampshire,judgement,Judgment (Judicial Only),0,,
NH,New Hampshire,pre_sale_redemption,Pre-Sale Redemption,0,,
NH,New Hampshire,sale_scheduled,Sale Scheduled,5,,
NH,New Hampshire,sale_completed,Sale Completed,30,,
NH,New Hampshire,post_sale_redemption,Post-Sale Redemption,0,,
NJ,New Jersey,pre_fc,Pre-Foreclosure,90,,
NJ,New Jersey,first_legal_filed,First Legal Filed (NOD/Complaint),95,,
NJ,New Jersey,mediation,Mediation,95,,
NJ,New Jersey,order_of_reference,Order of Reference (Judicial Only),0,,
NJ,New Jersey,judgement,Judgment (Judicial Only),82,,
NJ,New Jersey,pre_sale_redemption,Pre-Sale Redemption,0,,
NJ,New Jersey,sale_scheduled,Sale Scheduled,14,,
NJ,New Jersey,sale_completed,Sale Completed,45,,
NJ,New Jersey,post_sale_redemption,Post-Sale Redemption,0,,
NM,New Mexico,pre_fc,Pre-Foreclosure,90,,
NM,New Mexico,first_legal_filed,First Legal Filed (NOD/Complaint),75,,
NM,New Mexico,mediation,Mediation,0,,
NM,New Mexico,order_of_reference,Order of Reference (Judicial Only),0,,
NM,New Mexico,judgement,Judgment (Judicial Only),52,,
NM,New Mexico,pre_sale_redemption,Pre-Sale Redemption,0,,
NM,New Mexico,sale_scheduled,Sale Scheduled,5,,
NM,New Mexico,sale_completed,Sale Completed,45,,
NM,New Mexico,post_sale_redemption,Post-Sale Redemption,30,,
NV,Nevada,pre_fc,Pre-Foreclosure,90,,
NV,Nevada,first_legal_filed,First Legal Filed (NOD/Complaint),15,,
NV,Nevada,mediation,Mediation,50,,
NV,Nevada,order_of_reference,Order of Reference (Judicial Only),0,,
NV,Nevada,judgement,Judgment (Judicial Only),0,,
NV,Nevada,pre_sale_redemption,Pre-Sale Redemption,90,,
NV,Nevada,sale_scheduled,Sale Scheduled,5,,
NV,Nevada,sale_completed,Sale Completed,30,,
NV,Nevada,post_sale_redemption,Post-Sale Redemption,0,,
NY,New York,pre_fc,Pre-Foreclosure,90,,
NY,New York,first_legal_filed,First Legal Filed (NOD/Complaint),80,,
NY,New York,mediation,Mediation,0,,
NY,New York,order_of_reference,Order of Reference (Judicial Only),147,,
NY,New York,judgement,Judgment (Judicial Only),195.75,,
NY,New York,pre_sale_redemption,Pre-Sale Redemption,0,,
NY,New York,sale_scheduled,Sale Scheduled,10,,
NY,New York,sale_completed,Sale Completed,40,,
NY,New York,post_sale_redemption,Post-Sale Redemption,0,,
OH,Ohio,pre_fc,Pre-Foreclosure,90,,
OH,Ohio,first_legal_filed,First Legal Filed (NOD/Complaint),65,,
OH,Ohio,mediation,Mediation,95,,
OH,Ohio,order_of_reference,Order of Reference (Judicial Only),0,,
OH,Ohio,judgement,Judgment (Judicial Only),112,,
OH,Ohio,pre_sale_redemption,Pre-Sale Redemption,0,,
OH,Ohio,sale_scheduled,Sale Scheduled,20,,
OH,Ohio,sale_completed,Sale Completed,30,,
OH,Ohio,post_sale_redemption,Post-Sale Redemption,10,,
OK,Oklahoma,pre_fc,Pre-Foreclosure,90,,
OK,Oklahoma,first_legal_filed,First Legal Filed (NOD/Complaint),75,,
OK,Oklahoma,mediation,Mediation,0,,
OK,Oklahoma,order_of_reference,Order of Reference (Judicial Only),0,,
OK,Oklahoma,judgement,Judgment (Judicial Only),72,,
OK,Oklahoma,pre_sale_redemption,Pre-Sale Redemption,0,,
OK,Oklahoma,sale_scheduled,Sale Scheduled,20,,
OK,Oklahoma,sale_completed,Sale Completed,30,,
OK,Oklahoma,post_sale_redemption,Post-Sale Redemption,15,,
OR,Oregon,pre_fc,Pre-Foreclosure,90,,
OR,Oregon,first_legal_filed,First Legal Filed (NOD/Complaint),15,,
OR,Oregon,mediation,Mediation,50,,
OR,Oregon,order_of_reference,Order of Reference (Judicial Only),0,,
OR,Oregon,judgement,Judgment (Judicial Only),0,,
OR,Oregon,pre_sale_redemption,Pre-Sale Redemption,0,,
OR,Oregon,sale_scheduled,Sale Scheduled,5,,
OR,Oregon,sale_completed,Sale Completed,120,,
OR,Oregon,post_sale_redemption,Post-Sale Redemption,0,,
PA,Pennsylvania,pre_fc,Pre-Foreclosure,90,,
PA,Pennsylvania,first_legal_filed,First Legal Filed (NOD/Complaint),65,,
PA,Pennsylvania,mediation,Mediation,95,,
PA,Pennsylvania,order_of_reference,Order of Reference (Judicial Only),0,,
PA,Pennsylvania,judgement,Judgment (Judicial Only),72,,
PA,Pennsylvania,pre_sale_redemption,Pre-Sale Redemption,0,,
PA,Pennsylvania,sale_scheduled,Sale Scheduled,10,,
PA,Pennsylvania,sale_completed,Sale Completed,30,,
PA,Pennsylvania,post_sale_redemption,Post-Sale Redemption,0,,
PR,Puerto Rico,pre_fc,Pre-Foreclosure,90,,
PR,Puerto Rico,first_legal_filed,First Legal Filed (NOD/Complaint),65,,
PR,Puerto Rico,mediation,Mediation,95,,
PR,Puerto Rico,order_of_reference,Order of Reference (Judicial Only),0,,
PR,Puerto Rico,judgement,Judgment (Judicial Only),67,,
PR,Puerto Rico,pre_sale_redemption,Pre-Sale Redemption,0,,
PR,Puerto Rico,sale_scheduled,Sale Scheduled,10,,
PR,Puerto Rico,sale_completed,Sale Completed,30,,
PR,Puerto Rico,post_sale_redemption,Post-Sale Redemption,0,,
RI,Rhode Island,pre_fc,Pre-Foreclosure,90,,
RI,Rhode Island,first_legal_filed,First Legal Filed (NOD/Complaint),15,,
RI,Rhode Island,mediation,Mediation,0,,
RI,Rhode Island,order_of_reference,Order of Reference (Judicial Only),0,,
RI,Rhode Island,judgement,Judgment (Judicial Only),0,,
RI,Rhode Island,pre_sale_redemption,Pre-Sale Redemption,0,,
RI,Rhode Island,sale_scheduled,Sale Scheduled,30,,
RI,Rhode Island,sale_completed,Sale Completed,21,,
RI,Rhode Island,post_sale_redemption,Post-Sale Redemption,0,,
SC,South Carolina,pre_fc,Pre-Foreclosure,90,,
SC,South Carolina,first_legal_filed,First Legal Filed (NOD/Complaint),75,,
SC,South Carolina,mediation,Mediation,95,,
SC,South Carolina,order_of_reference,Order of Reference (Judicial Only),0,,
SC,South Carolina,judgement,Judgment (Judicial Only),67,,
SC,South Carolina,pre_sale_redemption,Pre-Sale Redemption,0,,
SC,South Carolina,sale_scheduled,Sale Scheduled,10,,
SC,South Carolina,sale_completed,Sale Completed,30,,
SC,South Carolina,post_sale_redemption,Post-Sale Redemption,30,,
SD,South Dakota,pre_fc,Pre-Foreclosure,90,,
SD,South Dakota,first_legal_filed,First Legal Filed (NOD/Complaint),90,,
SD,South Dakota,mediation,Mediation,0,,
SD,South Dakota,order_of_reference,Order of Reference (Judicial Only),0,,
SD,South Dakota,judgement,Judgment (Judicial Only),72,,
SD,South Dakota,pre_sale_redemption,Pre-Sale Redemption,0,,
SD,South Dakota,sale_scheduled,Sale Scheduled,10,,
SD,South Dakota,sale_completed,Sale Completed,30,,
SD,South Dakota,post_sale_redemption,Post-Sale Redemption,180,,
TN,Tennessee,pre_fc,Pre-Foreclosure,90,,
TN,Tennessee,first_legal_filed,First Legal Filed (NOD/Complaint),15,,
TN,Tennessee,mediation,Mediation,0,,
TN,Tennessee,order_of_reference,Order of Reference (Judicial Only),0,,
TN,Tennessee,judgement,Judgment (Judicial Only),0,,
TN,Tennessee,pre_sale_redemption,Pre-Sale Redemption,0,,
TN,Tennessee,sale_scheduled,Sale Scheduled,0,,
TN,Tennessee,sale_completed,Sale Completed,30,,
TN,Tennessee,post_sale_redemption,Post-Sale Redemption,0,,
TX,Texas,pre_fc,Pre-Foreclosure,90,,
TX,Texas,first_legal_filed,First Legal Filed (NOD/Complaint),26,,
TX,Texas,mediation,Mediation,0,,
TX,Texas,order_of_reference,Order of Reference (Judicial Only),0,,
TX,Texas,judgement,Judgment (Judicial Only),0,,
TX,Texas,pre_sale_redemption,Pre-Sale Redemption,0,,
TX,Texas,sale_scheduled,Sale Scheduled,5,,
TX,Texas,sale_completed,Sale Completed,45,,
TX,Texas,post_sale_redemption,Post-Sale Redemption,0,,
UT,Utah,pre_fc,Pre-Foreclosure,90,,
UT,Utah,first_legal_filed,First Legal Filed (NOD/Complaint),15,,
UT,Utah,mediation,Mediation,50,,
UT,Utah,order_of_reference,Order of Reference (Judicial Only),0,,
UT,Utah,judgement,Judgment (Judicial Only),0,,
UT,Utah,pre_sale_redemption,Pre-Sale Redemption,90,,
UT,Utah,sale_scheduled,Sale Scheduled,5,,
UT,Utah,sale_completed,Sale Completed,30,,
UT,Utah,post_sale_redemption,Post-Sale Redemption,0,,
VA,Virginia,pre_fc,Pre-Foreclosure,90,,
VA,Virginia,first_legal_filed,First Legal Filed (NOD/Complaint),15,,
VA,Virginia,mediation,Mediation,0,,
VA,Virginia,order_of_reference,Order of Reference (Judicial Only),0,,
VA,Virginia,judgement,Judgment (Judicial Only),0,,
VA,Virginia,pre_sale_redemption,Pre-Sale Redemption,0,,
VA,Virginia,sale_scheduled,Sale Scheduled,5,,
VA,Virginia,sale_completed,Sale Completed,30,,
VA,Virginia,post_sale_redemption,Post-Sale Redemption,0,,
VT,Vermont,pre_fc,Pre-Foreclosure,90,,
VT,Vermont,first_legal_filed,First Legal Filed (NOD/Complaint),65,,
VT,Vermont,mediation,Mediation,0,,
VT,Vermont,order_of_reference,Order of Reference (Judicial Only),0,,
VT,Vermont,judgement,Judgment (Judicial Only),62,,
VT,Vermont,pre_sale_redemption,Pre-Sale Redemption,180,,
VT,Vermont,sale_scheduled,Sale Scheduled,0,,
VT,Vermont,sale_completed,Sale Completed,60,,
VT,Vermont,post_sale_redemption,Post-Sale Redemption,10,,
WA,Washington,pre_fc,Pre-Foreclosure,90,,
WA,Washington,first_legal_filed,First Legal Filed (NOD/Complaint),10,,
WA,Washington,mediation,Mediation,50,,
WA,Washington,order_of_reference,Order of Reference (Judicial Only),0,,
WA,Washington,judgement,Judgment (Judicial Only),0,,
WA,Washington,pre_sale_redemption,Pre-Sale Redemption,0,,
WA,Washington,sale_scheduled,Sale Scheduled,5,,
WA,Washington,sale_completed,Sale Completed,120,,
WA,Washington,post_sale_redemption,Post-Sale Redemption,0,,
WI,Wisconsin,pre_fc,Pre-Foreclosure,90,,
WI,Wisconsin,first_legal_filed,First Legal Filed (NOD/Complaint),65,,
WI,Wisconsin,mediation,Mediation,95,,
WI,Wisconsin,order_of_reference,Order of Reference (Judicial Only),0,,
WI,Wisconsin,judgement,Judgment (Judicial Only),62,,
WI,Wisconsin,pre_sale_redemption,Pre-Sale Redemption,180,,
WI,Wisconsin,sale_scheduled,Sale Scheduled,0,,
WI,Wisconsin,sale_completed,Sale Completed,10,,
WI,Wisconsin,post_sale_redemption,Post-Sale Redemption,10,,
WV,West Virginia,pre_fc,Pre-Foreclosure,90,,
WV,West Virginia,first_legal_filed,First Legal Filed (NOD/Complaint),15,,
WV,West Virginia,mediation,Mediation,0,,
WV,West Virginia,order_of_reference,Order of Reference (Judicial Only),0,,
WV,West Virginia,judgement,Judgment (Judicial Only),0,,
WV,West Virginia,pre_sale_redemption,Pre-Sale Redemption,0,,
WV,West Virginia,sale_scheduled,Sale Scheduled,10,,
WV,West Virginia,sale_completed,Sale Completed,30,,
WV,West Virginia,post_sale_redemption,Post-Sale Redemption,0,,
WY,Wyoming,pre_fc,Pre-Foreclosure,90,,
WY,Wyoming,first_legal_filed,First Legal Filed (NOD/Complaint),15,,
WY,Wyoming,mediation,Mediation,0,,
WY,Wyoming,order_of_reference,Order of Reference (Judicial Only),0,,
WY,Wyoming,judgement,Judgment (Judicial Only),0,,
WY,Wyoming,pre_sale_redemption,Pre-Sale Redemption,0,,
WY,Wyoming,sale_scheduled,Sale Scheduled,10,,
WY,Wyoming,sale_completed,Sale Completed,30,,
WY,Wyoming,post_sale_redemption,Post-Sale Redemption,90,,
