Servicer ID,Entity
713596,"WFL Homes, LLC"
713288,"Reliant Trust, Series FLC"
713606,"WFL Homes, LLC"
713378,"WFL Homes, LLC"
713233,"WFL Homes, LLC"
713709,"WFL Homes, LLC"
713617,"Reliant Trust, Series FLC"
713084,"WFL Homes, LLC"
713192,"WFL Homes, LLC"
713420,"Reliant Trust, Series FLC"
682572,"AFL Mortgage 2, LLC"
713167,"Reliant Trust, Series FLC"
713589,"WFL Homes, LLC"
713505,"Reliant Trust, Series FLC"
713170,"WFL Homes, LLC"
713079,"WFL Homes, LLC"
713723,"WFL Homes, LLC"
645746,"AFL Mortgage, LLC"
713417,"WFL Homes, LLC"
713710,"Reliant Trust, Series FLC"
713462,"WFL Homes, LLC"
713651,"WFL Homes, LLC"
713451,"WFL Homes, LLC"
713635,"WFL Homes, LLC"
2000023946,"AFL Mortgage, LLC"
682488,"AFL Mortgage 2, LLC"
627368,"AFL Mortgage, LLC"
713435,"Reliant Trust, Series FLC"
682673,"AFL Mortgage 2, LLC"
713273,"WFL Homes, LLC"
713228,"WFL Homes, LLC"
713475,"WFL Homes, LLC"
713147,"WFL Homes, LLC"
713675,"Reliant Trust, Series FLC"
713309,"WFL Homes, LLC"
713354,"WFL Homes, LLC"
713204,"WFL Homes, LLC"
713620,"WFL Homes, LLC"
713310,"WFL Homes, LLC"
713365,"WFL Homes, LLC"
713345,"WFL Homes, LLC"
713091,"WFL Homes, LLC"
713185,"WFL Homes, LLC"
713529,"WFL Homes, LLC"
713480,"WFL Homes, LLC"
713738,"WFL Homes, LLC"
713066,"WFL Homes, LLC"
713442,"WFL Homes, LLC"
626309,"AFL Mortgage, LLC"
2000026338,"AFL Mortgage, LLC"
713055,"WFL Homes, LLC"
713550,"WFL Homes, LLC"
682587,"AFL Mortgage 2, LLC"
713534,"Reliant Trust, Series FLC"
713390,"Reliant Trust, Series FLC"
713574,"Reliant Trust, Series FLC"
713642,"WFL Homes, LLC"
2000026344,"AFL Mortgage, LLC"
2000026358,"AFL Mortgage, LLC"
625764,"AFL Mortgage, LLC"
645551,"AFL Mortgage, LLC"
2000026439,"AFL Mortgage, LLC"
2000024162,"AFL Mortgage, LLC"
20001,"AFL Mortgage, LLC"
20002,"AFL Mortgage, LLC"
2000021539,"AFL Mortgage, LLC"
2000021892,"AFL Mortgage, LLC"
2000024782,"AFL Mortgage, LLC"
713125,"WFL Homes, LLC"
627313,"AFL Mortgage, LLC"
2000026291,"AFL Mortgage, LLC"
713215,"WFL Homes, LLC"
713516,"WFL Homes, LLC"
713338,"Reliant Trust, Series FLC"
627768,"AFL Mortgage, LLC"
2000023945,"AFL Mortgage, LLC"
713497,"Reliant Trust, Series FLC"
682659,"AFL Mortgage 2, LLC"
682495,"AFL Mortgage 2, LLC"
713156,"WFL Homes, LLC"
2000026442,"AFL Mortgage, LLC"
2000026321,"AFL Mortgage, LLC"
2000026274,"AFL Mortgage, LLC"
2000024780,"AFL Mortgage, LLC"
2000021924,"AFL Mortgage, LLC"
682503,"AFL Mortgage 2, LLC"
625474,"AFL Mortgage, LLC"
625441,"AFL Mortgage, LLC"
625337,"AFL Mortgage, LLC"
625708,"AFL Mortgage, LLC"
626204,"AFL Mortgage, LLC"
627371,"AFL Mortgage, LLC"
625900,"AFL Mortgage, LLC"
2000026354,"AFL Mortgage, LLC"
2000024783,"AFL Mortgage, LLC"
2000024158,"AFL Mortgage, LLC"
2000023949,"AFL Mortgage, LLC"
2000021919,"AFL Mortgage, LLC"
2000023947,"AFL Mortgage, LLC"
682363,"AFL Mortgage 2, LLC"
682532,"AFL Mortgage 2, LLC"
2000023939,"AFL Mortgage, LLC"
713383,"WFL Homes, LLC"
713697,"Reliant Trust, Series FLC"
713541,"Reliant Trust, Series FLC"
713662,"Reliant Trust, Series FLC"
2000021905,"AFL Mortgage, LLC"
713561,"Reliant Trust, Series FLC"
713101,"Reliant Trust, Series FLC"
625272,"AFL Mortgage, LLC"
2000026320,"AFL Mortgage, LLC"
2000023950,"AFL Mortgage, LLC"
2000039284,"AFL Mortgage 2, LLC"
713295,"WFL Homes, LLC"
682549,"AFL Mortgage 2, LLC"
713130,"WFL Homes, LLC"
682688,"AFL Mortgage 2, LLC"
713406,"WFL Homes, LLC"
682527,"AFL Mortgage 2, LLC"
2000039282,"AFL Mortgage 2, LLC"
682460,"AFL Mortgage 2, LLC"
713112,"Reliant Trust, Series FLC"
713259,"WFL Homes, LLC"
713680,"WFL Homes, LLC"
682569,"AFL Mortgage 2, LLC"
2000023938,"AFL Mortgage, LLC"
682594,"AFL Mortgage 2, LLC"
627881,"AFL Mortgage, LLC"
713240,"Reliant Trust, Series FLC"
713260,"WFL Homes, LLC"
2000025451,"AFL Mortgage, LLC"
713323,"WFL Homes, LLC"
682433,"AFL Mortgage 2, LLC"
644725,"AFL Mortgage, LLC"
627218,"AFL Mortgage, LLC"
682381,"AFL Mortgage 2, LLC"
682404,"AFL Mortgage 2, LLC"
682459,"AFL Mortgage 2, LLC"
682558,"AFL Mortgage 2, LLC"
682628,"AFL Mortgage 2, LLC"
682398,"AFL Mortgage 2, LLC"
682604,"AFL Mortgage 2, LLC"
682440,"AFL Mortgage 2, LLC"
682633,"AFL Mortgage 2, LLC"
682695,"AFL Mortgage 2, LLC"
682640,"AFL Mortgage 2, LLC"
682615,"AFL Mortgage 2, LLC"
9160079054,"AFL Mortgage, LLC"
9160078784,"AFL Mortgage, LLC"
9160078368,"AFL Mortgage, LLC"
9160079124,"AFL Mortgage, LLC"
626185,"AFL Mortgage, LLC"
645618,"AFL Mortgage, LLC"
9160079200,"AFL Mortgage, LLC"
626079,"AFL Mortgage, LLC"
9160078944,"AFL Mortgage, LLC"
7000139358,"AFL Mortgage, LLC"
7000194313,"AFL Mortgage, LLC"
9160078324,"AFL Mortgage, LLC"
9160079064,"AFL Mortgage, LLC"
645241,"AFL Mortgage, LLC"
7000138395,"AFL Mortgage, LLC"
7000207662,"AFL Mortgage, LLC"
9160078914,"AFL Mortgage, LLC"
2000028493,"AFL Mortgage, LLC"
626516,"AFL Mortgage, LLC"
646367,"AFL Mortgage, LLC"
7000139876,"AFL Mortgage, LLC"
9160078216,"AFL Mortgage, LLC"
7000135265,"AFL Mortgage, LLC"
644792,"AFL Mortgage, LLC"
645476,"AFL Mortgage, LLC"
645562,"AFL Mortgage, LLC"
645711,"AFL Mortgage, LLC"
644581,"AFL Mortgage, LLC"
7000135516,"AFL Mortgage, LLC"
7000181358,"AFL Mortgage, LLC"
7000191123,"AFL Mortgage, LLC"
645861,"AFL Mortgage, LLC"
9160078220,"AFL Mortgage, LLC"
7000131281,"AFL Mortgage, LLC"
7000178009,"AFL Mortgage, LLC"
645274,"AFL Mortgage, LLC"
9160079112,"AFL Mortgage, LLC"
7000196743,"AFL Mortgage, LLC"
7000197520,"AFL Mortgage, LLC"
9160079034,"AFL Mortgage, LLC"
9160079082,"AFL Mortgage, LLC"
7000141224,"AFL Mortgage, LLC"
9160078932,"AFL Mortgage, LLC"
626233,"AFL Mortgage, LLC"
627454,"AFL Mortgage, LLC"
627522,"AFL Mortgage, LLC"
626534,"AFL Mortgage, LLC"
627713,"AFL Mortgage, LLC"
626833,"AFL Mortgage, LLC"
627582,"AFL Mortgage, LLC"
2000026378,"AFL Mortgage, LLC"
626365,"AFL Mortgage, LLC"
2000026407,"AFL Mortgage, LLC"
644677,"AFL Mortgage, LLC"
646086,"AFL Mortgage, LLC"
2000026342,"AFL Mortgage, LLC"
2000026362,"AFL Mortgage, LLC"
646444,"AFL Mortgage, LLC"
626046,"AFL Mortgage, LLC"
626925,"AFL Mortgage, LLC"
627188,"AFL Mortgage, LLC"
644437,"AFL Mortgage, LLC"
644682,"AFL Mortgage, LLC"
627140,"AFL Mortgage, LLC"
644385,"AFL Mortgage, LLC"
626754,"AFL Mortgage, LLC"
2000026309,"AFL Mortgage, LLC"
646048,"AFL Mortgage, LLC"
7000079247,"AFL Mortgage, LLC"
644969,"AFL Mortgage, LLC"
645205,"AFL Mortgage, LLC"
2000026404,"AFL Mortgage, LLC"
644932,"AFL Mortgage, LLC"
626066,"AFL Mortgage, LLC"
625753,"AFL Mortgage, LLC"
626259,"AFL Mortgage, LLC"
626435,"AFL Mortgage, LLC"
626541,"AFL Mortgage, LLC"
626697,"AFL Mortgage, LLC"
626815,"AFL Mortgage, LLC"
627049,"AFL Mortgage, LLC"
625155,"AFL Mortgage, LLC"
627577,"AFL Mortgage, LLC"
627115,"AFL Mortgage, LLC"
2000026299,"AFL Mortgage, LLC"
2000026390,"AFL Mortgage, LLC"
2000026425,"AFL Mortgage, LLC"
625294,"AFL Mortgage, LLC"
626675,"AFL Mortgage, LLC"
627786,"AFL Mortgage, LLC"
625869,"AFL Mortgage, LLC"
626130,"AFL Mortgage, LLC"
626859,"AFL Mortgage, LLC"
627221,"AFL Mortgage, LLC"
627236,"AFL Mortgage, LLC"
627410,"AFL Mortgage, LLC"
627818,"AFL Mortgage, LLC"
644563,"AFL Mortgage, LLC"
625322,"AFL Mortgage, LLC"
626901,"AFL Mortgage, LLC"
645216,"AFL Mortgage, LLC"
2000026349,"AFL Mortgage, LLC"
2000026386,"AFL Mortgage, LLC"
2000026391,"AFL Mortgage, LLC"
2000026416,"AFL Mortgage, LLC"
2000026420,"AFL Mortgage, LLC"
673428,"AFL Mortgage, LLC"
2000026334,"AFL Mortgage, LLC"
2000026428,"AFL Mortgage, LLC"
2000026312,"AFL Mortgage, LLC"
2000026317,"AFL Mortgage, LLC"
2000026432,"AFL Mortgage, LLC"
645047,"AFL Mortgage, LLC"
2000026433,"AFL Mortgage, LLC"
645700,"AFL Mortgage, LLC"
673488,"AFL Mortgage, LLC"
2000026348,"AFL Mortgage, LLC"
2000026302,"AFL Mortgage, LLC"
2000026438,"AFL Mortgage, LLC"
9160078618,"AFL Mortgage, LLC"
9160078236,"AFL Mortgage, LLC"
2000021907,"AFL Mortgage, LLC"
9160078256,"AFL Mortgage, LLC"
9160078454,"AFL Mortgage, LLC"
2000021912,"AFL Mortgage, LLC"
2000021930,"AFL Mortgage, LLC"
625382,"AFL Mortgage, LLC"
9160078622,"AFL Mortgage, LLC"
9160078942,"AFL Mortgage, LLC"
2000026343,"AFL Mortgage, LLC"
625641,"AFL Mortgage, LLC"
9160078816,"AFL Mortgage, LLC"
625616,"AFL Mortgage, LLC"
2000026403,"AFL Mortgage, LLC"
625737,"AFL Mortgage, LLC"
625814,"AFL Mortgage, LLC"
626055,"AFL Mortgage, LLC"
626170,"AFL Mortgage, LLC"
2000026370,"AFL Mortgage, LLC"
645739,"AFL Mortgage, LLC"
2000026269,"AFL Mortgage, LLC"
645436,"AFL Mortgage, LLC"
2000026305,"AFL Mortgage, LLC"
625184,"AFL Mortgage, LLC"
625605,"AFL Mortgage, LLC"
626000,"AFL Mortgage, LLC"
625399,"AFL Mortgage, LLC"
626147,"AFL Mortgage, LLC"
626790,"AFL Mortgage, LLC"
627537,"AFL Mortgage, LLC"
626617,"AFL Mortgage, LLC"
627094,"AFL Mortgage, LLC"
627276,"AFL Mortgage, LLC"
627445,"AFL Mortgage, LLC"
644419,"AFL Mortgage, LLC"
645663,"AFL Mortgage, LLC"
646103,"AFL Mortgage, LLC"
646330,"AFL Mortgage, LLC"
627731,"AFL Mortgage, LLC"
645234,"AFL Mortgage, LLC"
645324,"AFL Mortgage, LLC"
646521,"AFL Mortgage, LLC"
626992,"AFL Mortgage, LLC"
626745,"AFL Mortgage, LLC"
2000026379,"AFL Mortgage, LLC"
625227,"AFL Mortgage, LLC"
626804,"AFL Mortgage, LLC"
627465,"AFL Mortgage, LLC"
645784,"AFL Mortgage, LLC"
2000026388,"AFL Mortgage, LLC"
2000026393,"AFL Mortgage, LLC"
2000026400,"AFL Mortgage, LLC"
2000026405,"AFL Mortgage, LLC"
2000026413,"AFL Mortgage, LLC"
2000026427,"AFL Mortgage, LLC"
2000026429,"AFL Mortgage, LLC"
625258,"AFL Mortgage, LLC"
626383,"AFL Mortgage, LLC"
2000026377,"AFL Mortgage, LLC"
2000026399,"AFL Mortgage, LLC"
2000026401,"AFL Mortgage, LLC"
625416,"AFL Mortgage, LLC"
644785,"AFL Mortgage, LLC"
644806,"AFL Mortgage, LLC"
644820,"AFL Mortgage, LLC"
644958,"AFL Mortgage, LLC"
645085,"AFL Mortgage, LLC"
644875,"AFL Mortgage, LLC"
644949,"AFL Mortgage, LLC"
645025,"AFL Mortgage, LLC"
645067,"AFL Mortgage, LLC"
645102,"AFL Mortgage, LLC"
645113,"AFL Mortgage, LLC"
645168,"AFL Mortgage, LLC"
645481,"AFL Mortgage, LLC"
645157,"AFL Mortgage, LLC"
645171,"AFL Mortgage, LLC"
645339,"AFL Mortgage, LLC"
645346,"AFL Mortgage, LLC"
645366,"AFL Mortgage, LLC"
645379,"AFL Mortgage, LLC"
2000028496,"AFL Mortgage, LLC"
2000024161,"AFL Mortgage, LLC"
2000028491,"AFL Mortgage, LLC"
1410102986,"AFL Mortgage, LLC"
2000026376,"AFL Mortgage, LLC"
645012,"AFL Mortgage, LLC"
2000026417,"AFL Mortgage, LLC"
2000026385,"AFL Mortgage, LLC"
2000026402,"AFL Mortgage, LLC"
2000026415,"AFL Mortgage, LLC"
625966,"AFL Mortgage, LLC"
2000026304,"AFL Mortgage, LLC"
645030,"AFL Mortgage, LLC"
646477,"AFL Mortgage, LLC"
645542,"AFL Mortgage, LLC"
2000026374,"AFL Mortgage, LLC"
645391,"AFL Mortgage, LLC"
2000026373,"AFL Mortgage, LLC"
2000026423,"AFL Mortgage, LLC"
2000026284,"AFL Mortgage, LLC"
2000026394,"AFL Mortgage, LLC"
2000026395,"AFL Mortgage, LLC"
2000026412,"AFL Mortgage, LLC"
627072,"AFL Mortgage, LLC"
627104,"AFL Mortgage, LLC"
627195,"AFL Mortgage, LLC"
627207,"AFL Mortgage, LLC"
627243,"AFL Mortgage, LLC"
627128,"AFL Mortgage, LLC"
627173,"AFL Mortgage, LLC"
627252,"AFL Mortgage, LLC"
627263,"AFL Mortgage, LLC"
627326,"AFL Mortgage, LLC"
627331,"AFL Mortgage, LLC"
627393,"AFL Mortgage, LLC"
627409,"AFL Mortgage, LLC"
627423,"AFL Mortgage, LLC"
627438,"AFL Mortgage, LLC"
627490,"AFL Mortgage, LLC"
627508,"AFL Mortgage, LLC"
627519,"AFL Mortgage, LLC"
627564,"AFL Mortgage, LLC"
627610,"AFL Mortgage, LLC"
627623,"AFL Mortgage, LLC"
627553,"AFL Mortgage, LLC"
627599,"AFL Mortgage, LLC"
627609,"AFL Mortgage, LLC"
627638,"AFL Mortgage, LLC"
627748,"AFL Mortgage, LLC"
627807,"AFL Mortgage, LLC"
627683,"AFL Mortgage, LLC"
627771,"AFL Mortgage, LLC"
627757,"AFL Mortgage, LLC"
627645,"AFL Mortgage, LLC"
627793,"AFL Mortgage, LLC"
627852,"AFL Mortgage, LLC"
627904,"AFL Mortgage, LLC"
644068,"AFL Mortgage, LLC"
627843,"AFL Mortgage, LLC"
627863,"AFL Mortgage, LLC"
627898,"AFL Mortgage, LLC"
644206,"AFL Mortgage, LLC"
644275,"AFL Mortgage, LLC"
644392,"AFL Mortgage, LLC"
644576,"AFL Mortgage, LLC"
644598,"AFL Mortgage, LLC"
644619,"AFL Mortgage, LLC"
644297,"AFL Mortgage, LLC"
644301,"AFL Mortgage, LLC"
644444,"AFL Mortgage, LLC"
644637,"AFL Mortgage, LLC"
644756,"AFL Mortgage, LLC"
644701,"AFL Mortgage, LLC"
644712,"AFL Mortgage, LLC"
2000026311,"AFL Mortgage, LLC"
2000026325,"AFL Mortgage, LLC"
2000026326,"AFL Mortgage, LLC"
2000026332,"AFL Mortgage, LLC"
644767,"AFL Mortgage, LLC"
644770,"AFL Mortgage, LLC"
2000026351,"AFL Mortgage, LLC"
627302,"AFL Mortgage, LLC"
2000026337,"AFL Mortgage, LLC"
2000026353,"AFL Mortgage, LLC"
627087,"AFL Mortgage, LLC"
627160,"AFL Mortgage, LLC"
627357,"AFL Mortgage, LLC"
627386,"AFL Mortgage, LLC"
644543,"AFL Mortgage, LLC"
627483,"AFL Mortgage, LLC"
627544,"AFL Mortgage, LLC"
627821,"AFL Mortgage, LLC"
644242,"AFL Mortgage, LLC"
644347,"AFL Mortgage, LLC"
644622,"AFL Mortgage, LLC"
644653,"AFL Mortgage, LLC"
644880,"AFL Mortgage, LLC"
645902,"AFL Mortgage, LLC"
644903,"AFL Mortgage, LLC"
644987,"AFL Mortgage, LLC"
645300,"AFL Mortgage, LLC"
645766,"AFL Mortgage, LLC"
646057,"AFL Mortgage, LLC"
646194,"AFL Mortgage, LLC"
626680,"AFL Mortgage, LLC"
645498,"AFL Mortgage, LLC"
645517,"AFL Mortgage, LLC"
645520,"AFL Mortgage, LLC"
645636,"AFL Mortgage, LLC"
645834,"AFL Mortgage, LLC"
645889,"AFL Mortgage, LLC"
645779,"AFL Mortgage, LLC"
645643,"AFL Mortgage, LLC"
645652,"AFL Mortgage, LLC"
645841,"AFL Mortgage, LLC"
645850,"AFL Mortgage, LLC"
645896,"AFL Mortgage, LLC"
645926,"AFL Mortgage, LLC"
645968,"AFL Mortgage, LLC"
645986,"AFL Mortgage, LLC"
645993,"AFL Mortgage, LLC"
646026,"AFL Mortgage, LLC"
646031,"AFL Mortgage, LLC"
646071,"AFL Mortgage, LLC"
646149,"AFL Mortgage, LLC"
646127,"AFL Mortgage, LLC"
646132,"AFL Mortgage, LLC"
646158,"AFL Mortgage, LLC"
646169,"AFL Mortgage, LLC"
646242,"AFL Mortgage, LLC"
646251,"AFL Mortgage, LLC"
646280,"AFL Mortgage, LLC"
646301,"AFL Mortgage, LLC"
646312,"AFL Mortgage, LLC"
646347,"AFL Mortgage, LLC"
646356,"AFL Mortgage, LLC"
646370,"AFL Mortgage, LLC"
646422,"AFL Mortgage, LLC"
646482,"AFL Mortgage, LLC"
646536,"AFL Mortgage, LLC"
627159,"AFL Mortgage, LLC"
646518,"AFL Mortgage, LLC"
656850,"AFL Mortgage, LLC"
673433,"AFL Mortgage, LLC"
673440,"AFL Mortgage, LLC"
673459,"AFL Mortgage, LLC"
